
------------------------------------------------------------------------
#client=1 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  0   0  99   0   0   0|   0  8192B|  35k  511k|   0     0 | 109  1347 |0.04 0.11 0.18| 192M 45.2M  191M 3002M
  1   1  98   1   0   1|   0  8192B|  36k  507k|   0     0 | 102  1376 |0.04 0.10 0.18| 192M 45.2M  191M 3002M
  1   0  99   0   0   0|   0  3413B|  35k  489k|   0     0 |  49  1288 |0.03 0.10 0.18| 192M 45.2M  191M 3002M
  1   1  98   0   0   0|   0  2731B|  35k  490k|   0     0 | 251  1290 |0.03 0.10 0.18| 192M 45.2M  191M 3002M
  0   0  99   0   0   0|   0  3413B|  26k  357k|   0     0 |  27   955 |0.03 0.10 0.18| 190M 45.2M  191M 3004M
  0   0 100   0   0   0|   0  5461B|1273B  713B|   0     0 |  24    47 |0.03 0.09 0.18| 190M 45.2M  191M 3004M
  8   2  91   0   0   0|   0  4779B|3011B 1591B|   0     0 |  64   195 |0.02 0.09 0.17| 191M 45.2M  191M 3002M
  0   1  98   0   0   1|   0  4779B| 477k   37k|   0     0 | 273  1313 |0.02 0.09 0.17| 192M 45.2M  191M 3002M
  0   0  99   0   0   0|   0  2731B| 485k   37k|   0     0 | 320  1327 |0.02 0.09 0.17| 192M 45.2M  191M 3001M
  0   1  98   0   0   1|   0  3413B| 490k   37k|   0     0 | 238  1299 |0.02 0.08 0.17| 192M 45.2M  191M 3001M
  0   1  99   0   0   0|   0  6144B| 501k   38k|   0     0 | 221  1301 |0.01 0.08 0.17| 192M 45.2M  191M 3001M
  0   0  99   0   0   0|   0  3413B| 500k   38k|   0     0 | 142  1340 |0.01 0.08 0.17| 191M 45.2M  191M 3002M
  1   1  98   0   0   0|   0    13k| 503k   39k|   0     0 | 133  1351 |0.01 0.08 0.17| 192M 45.2M  191M 3001M
  0   1  98   0   0   0|   0  2731B| 512k   39k|   0     0 | 319  1367 |0.01 0.08 0.17| 192M 45.2M  191M 3002M
  0   1  99   0   0   0|   0  2731B| 520k   40k|   0     0 | 297  1422 |0.01 0.08 0.17| 191M 45.2M  191M 3002M
  1   0  98   0   0   0|   0  2731B| 519k   39k|   0     0 | 177  1331 |0.01 0.07 0.16| 191M 45.2M  191M 3002M
  1   0  98   0   0   0|   0  3413B| 515k   39k|   0     0 | 158  1344 |0.01 0.07 0.16| 192M 45.2M  191M 3002M
  0   0  99   0   0   0|   0  6144B| 184k   15k|   0     0 |  32   516 |   0 0.07 0.16| 190M 45.2M  191M 3004M

------------------------------------------------------------------------
#client=4 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  3   3  92   1   0   2|  10k   63k|   0     0 |   0     0 |1526  2299 |0.16 0.10 0.17| 189M 45.2M  191M 3004M
  0   0  99   0   0   0|   0  2731B|2405B  974B|   0     0 |  23    39 |0.15 0.10 0.17| 189M 45.2M  191M 3004M
