
------------------------------------------------------------------------
#client=1 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  2   2  96   1   0   0|   0  3413B|2042k  136k|   0     0 |  18  1059 |0.01 0.07 0.08| 200M 42.5M  298M 1125M
  1   1  97   1   0   0|   0  2731B|2034k  134k|   0     0 |  18  1046 |0.01 0.07 0.08| 200M 42.5M  298M 1125M
  2   2  96   1   0   0|   0  2048B|2043k  135k|   0     0 |  18  1049 |0.01 0.06 0.08| 200M 42.5M  298M 1125M
  0   0  99   0   0   0|   0  2048B|  54k 4537B|   0     0 |  18    66 |0.01 0.06 0.08| 200M 42.5M  298M 1125M
  0   1  98   1   0   0|   0  3413B|2713B 1340B|   0     0 |  18    58 |0.01 0.06 0.08| 200M 42.5M  298M 1125M
  1   1  98   1   0   0|   0  2048B| 105k 1380k|   0     0 |  18   810 |0.01 0.06 0.08| 200M 42.5M  298M 1125M
  1   2  97   1   0   0|   0  2731B| 152k 2024k|   0     0 |  18  1082 |   0 0.06 0.08| 200M 42.5M  298M 1125M
  1   2  96   1   0   0|   0  2048B| 155k 2050k|   0     0 |  18  1107 |   0 0.06 0.07| 200M 42.5M  298M 1125M
  1   1  97   0   0   0|   0  2731B| 157k 2070k|   0     0 |  18  1198 |   0 0.06 0.07| 200M 42.5M  298M 1125M
  1   1  97   0   0   0|   0  2048B| 155k 2041k|   0     0 |  18  1189 |   0 0.05 0.07| 200M 42.5M  298M 1125M
  1   1  98   0   0   0|   0  3413B| 155k 2061k|   0     0 |  18  1112 |   0 0.05 0.07| 200M 42.6M  298M 1125M
  1   1  97   1   0   0|   0  2048B| 157k 2074k|   0     0 |  18  1146 |   0 0.05 0.07| 200M 42.6M  298M 1125M
  1   1  97   0   0   0|   0  3413B| 157k 2078k|   0     0 |  18  1186 |   0 0.05 0.07| 200M 42.6M  298M 1125M
  1   1  98   0   0   0|   0  2048B| 157k 2075k|   0     0 |  18  1201 |   0 0.05 0.07| 200M 42.6M  298M 1125M
  1   2  97   0   0   0|   0  2048B| 156k 2065k|   0     0 |  18  1155 |   0 0.05 0.07| 200M 42.6M  298M 1125M
  1   1  98   0   0   0|   0  2048B|  97k 1286k|   0     0 |  18   760 |   0 0.05 0.07| 200M 42.6M  298M 1125M
 15   4  81   0   0   0|   0  2731B|3187B 1512B|   0     0 |  18   152 |   0 0.05 0.07| 242M 42.6M  298M 1083M

------------------------------------------------------------------------
#client=4 #workers=16 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  4   3  91   1   0   1|  16k   50k|   0     0 |   0     0 |  18  1817 |0.07 0.06 0.07| 200M 42.6M  298M 1125M
  1   1  98   0   0   0|   0  6144B| 635k   43k|   0     0 |  18   466 |0.07 0.06 0.07| 199M 42.6M  298M 1126M
  2   2  96   0   0   0|   0  2731B|2025k  134k|   0     0 |  18  1164 |0.06 0.06 0.07| 200M 42.6M  298M 1125M
  1   1  97   1   0   0|   0  2048B|2049k  135k|   0     0 |  18  1137 |0.06 0.06 0.07| 200M 42.6M  298M 1125M
  2   3  95   0   0   0|   0  2048B|2053k  136k|   0     0 |  18  1067 |0.05 0.06 0.07| 200M 42.6M  298M 1125M
  1   1  97   1   0   0|   0  6827B|2061k  137k|   0     0 |  18  1117 |0.04 0.05 0.07| 200M 42.6M  298M 1125M
  1   2  97   0   0   0|   0  3413B|2008k  133k|   0     0 |  18  1032 |0.04 0.05 0.07| 200M 42.7M  298M 1125M
  2   2  95   1   0   1|   0  2731B|1970k  131k|   0     0 |  18  1023 |0.04 0.05 0.07| 200M 42.7M  298M 1125M
  1   2  97   0   0   0|   0  2048B|2005k  132k|   0     0 |  18  1009 |0.03 0.05 0.07| 200M 42.7M  298M 1125M
  1   2  96   1   0   0|   0  2048B|2015k  134k|   0     0 |  18  1027 |0.03 0.05 0.07| 200M 42.7M  298M 1125M
  2   2  96   0   0   1|   0  2731B|2017k  134k|   0     0 |  18  1109 |0.02 0.05 0.07| 200M 42.7M  298M 1125M
  1   2  97   1   0   0|   0  2731B|2010k  133k|   0     0 |  18  1171 |0.02 0.05 0.07| 200M 42.7M  298M 1125M
  1   1  99   0   0   0|   0  2731B|3682B 1237B|   0     0 |  18    43 |0.02 0.05 0.07| 200M 42.7M  298M 1125M
  0   0  99   1   0   0|   0  2731B|1576B  685B|   0     0 |  18    45 |0.02 0.05 0.07| 200M 42.7M  298M 1125M
  1   2  97   0   0   0|   0  2731B| 114k 1496k|   0     0 |  18  1011 |0.02 0.04 0.07| 200M 42.7M  298M 1125M
  1   2  97   1   0   0|   0  2048B| 159k 2102k|   0     0 |  18  1277 |0.01 0.04 0.07| 200M 42.7M  298M 1125M
  1   2  97   1   0   0|   0  2048B| 158k 2089k|   0     0 |  18  1286 |0.01 0.04 0.06| 200M 42.7M  298M 1125M
  1   2  97   0   0   0|   0  2731B| 157k 2075k|   0     0 |  18  1224 |0.01 0.04 0.06| 200M 42.7M  298M 1125M
  1   2  97   1   0   0|   0  2731B| 154k 2064k|   0     0 |  18  1228 |0.01 0.04 0.06| 200M 42.7M  298M 1125M
