
------------------------------------------------------------------------
#client=1 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  0   0  99   0   0   0|   0    69k| 548k  577k|   0     0 |1327  2509 |0.21 0.25 0.40| 341M 42.1M  429M 12.9G
  0   0  99   0   0   0|   0    11k| 551k  582k|   0     0 | 974  2607 |0.19 0.25 0.39| 341M 42.1M  429M 12.9G
  0   0  99   0   0   0|   0  2048B| 550k  581k|   0     0 | 851  2612 |0.18 0.24 0.39| 341M 42.1M  429M 12.9G
  0   0  99   0   0   0|   0  2731B| 546k  574k|   0     0 | 833  2613 |0.15 0.24 0.39| 341M 42.1M  429M 12.9G
  0   0  99   0   0   0|   0  6144B| 528k  557k|   0     0 | 787  2548 |0.14 0.23 0.38| 341M 42.1M  429M 12.9G
  0   0  99   0   0   0|   0  2731B| 525k  554k|   0     0 | 722  2496 |0.13 0.23 0.38| 341M 42.1M  429M 12.9G
  0   0 100   0   0   0|   0  4096B| 521k  549k|   0     0 | 688  2463 |0.12 0.22 0.38| 341M 42.1M  429M 12.9G
  8   1  91   0   0   0|   0   139k| 220k  230k|   0     0 | 529  1688 |0.11 0.22 0.38| 394M 42.1M  430M 12.8G
  9   2  89   0   0   0|   0    15k|3462B 3948B|   0     0 | 328  1037 |0.25 0.25 0.38| 256M 42.1M  431M 13.0G
  4   1  96   0   0   0|   0   291k| 151k  161k|   0     0 | 615  1564 |0.22 0.24 0.38| 342M 42.1M  430M 12.9G
  1   1  99   0   0   0|   0  2048B| 519k  547k|   0     0 | 909  2283 |0.21 0.24 0.38| 345M 42.1M  430M 12.9G
  1   0  99   0   0   0|   0  2731B| 530k  558k|   0     0 |1225  2668 |0.19 0.23 0.38| 346M 42.1M  430M 12.9G
  0   0  99   0   0   0|   0  2048B| 525k  554k|   0     0 |1053  2507 |0.17 0.23 0.37| 348M 42.1M  430M 12.9G
  0   0  99   0   0   0|   0  2048B| 531k  560k|   0     0 |1032  2533 |0.15 0.22 0.37| 349M 42.1M  430M 12.9G
  0   0  99   0   0   0|   0  5461B| 541k  570k|   0     0 |1029  2441 |0.14 0.22 0.37| 349M 42.1M  430M 12.9G
  0   0  99   0   0   0|   0    15k| 544k  574k|   0     0 | 952  2482 |0.12 0.21 0.36| 351M 42.1M  430M 12.9G
  0   0  99   0   0   0|   0  2731B| 552k  581k|   0     0 |1003  2516 |0.11 0.21 0.36| 351M 42.2M  430M 12.9G
