
------------------------------------------------------------------------
#client=1 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  2   3  90   1   0   5|   0  2048B|1874k  120k|   0     0 |  18  2882 |0.20 0.13 0.10| 191M 19.4M  129M 1326M
  2   2  93   1   0   3|   0  4779B|1890k  121k|   0     0 |  18  2928 |0.16 0.13 0.10| 191M 19.4M  129M 1326M
  3   2  91   1   0   4|   0  2048B|1937k  125k|   0     0 |  18  3086 |0.15 0.12 0.10| 191M 19.4M  129M 1326M
  1   3  90   2   0   4|   0  2048B|1789k  113k|   0     0 |  18  2798 |0.14 0.12 0.10| 191M 19.4M  129M 1326M
  2   2  91   1   0   4|   0  3413B|1776k  112k|   0     0 |  18  2724 |0.13 0.12 0.10| 191M 19.4M  129M 1326M
  2   2  91   1   0   4|   0  2731B|1778k  112k|   0     0 |  18  2647 |0.12 0.12 0.09| 191M 19.4M  129M 1326M
  1   1  96   0   0   2|   0  2048B| 629k   40k|   0     0 |  18   993 |0.10 0.11 0.09| 191M 19.4M  129M 1326M
  0   0  99   1   0   0|   0  2731B|3813B 1678B|   0     0 |  18    50 |0.09 0.11 0.09| 191M 19.4M  129M 1326M
  0   0  99   1   0   0|   0  2048B|3899B 1764B|   0     0 |  18    68 |0.08 0.11 0.09| 191M 19.4M  129M 1326M
  0   0  99   1   0   0|   0  2048B|2405B  974B|   0     0 |  18    37 |0.08 0.11 0.09| 191M 19.5M  129M 1326M
  1   2  94   1   0   2|   0  3413B| 176k 1577k|   0     0 |  18  2607 |0.07 0.10 0.09| 191M 19.5M  129M 1326M
  1   2  95   0   0   2|   0  2048B| 174k 1839k|   0     0 |  18  2894 |0.06 0.10 0.09| 191M 19.5M  129M 1326M
  1   1  94   1   0   3|   0  2048B| 187k 1735k|   0     0 |  18  2855 |0.05 0.10 0.09| 191M 19.5M  129M 1326M
  1   2  94   0   0   2|   0  2731B| 188k 1697k|   0     0 |  18  2861 |0.13 0.11 0.09| 191M 19.5M  129M 1326M
  1   2  94   1   0   3|   0  2048B| 189k 1696k|   0     0 |  18  2833 |0.12 0.11 0.09| 191M 19.5M  129M 1326M
