
------------------------------------------------------------------------
#client=1 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  1   2  96   0   0   1|   0    13k| 122k 1823k|   0     0 | 308  3875 |0.05 0.10 0.06| 197M 20.4M  290M 2923M
  2   1  96   0   0   1|   0  2731B| 124k 1853k|   0     0 |  56  3930 |0.05 0.10 0.06| 197M 20.4M  290M 2923M
  1   1  96   0   0   1|   0  2731B| 121k 1816k|   0     0 |  58  3874 |0.04 0.10 0.06| 197M 20.4M  290M 2922M
  2   2  95   0   0   2|   0  2731B| 112k 1659k|   0     0 |  94  3612 |0.04 0.10 0.06| 197M 20.4M  290M 2922M
  1   1  96   0   0   1|   0  3413B| 114k 1698k|   0     0 | 396  3638 |0.03 0.09 0.06| 197M 20.4M  290M 2922M
  1   1  97   0   0   1|   0  4779B|  92k 1358k|   0     0 | 427  2919 |0.03 0.09 0.05| 193M 20.4M  290M 2927M
  0   0  99   0   0   0|   0  7509B|2405B  974B|   0     0 |  24    39 |0.03 0.09 0.05| 193M 20.4M  290M 2927M
  0   0 100   0   0   0|   0  4096B|1203B  487B|   0     0 |  22    34 |0.02 0.09 0.05| 193M 20.4M  290M 2927M
  0   0  99   0   0   0|   0  2731B|2445B 1014B|   0     0 |  29    51 |0.02 0.09 0.05| 192M 20.5M  290M 2927M
 15   7  77   0   0   1|   0  8192B| 801k   62k|   0     0 | 522  2065 |0.18 0.12 0.06| 194M 20.5M  290M 2926M
  2   2  94   0   0   2|   0  5461B|1762k  132k|   0     0 | 941  3706 |0.15 0.11 0.06| 194M 20.5M  290M 2926M
  2   2  95   0   0   1|   0    14k|1836k  137k|   0     0 |1247  3712 |0.14 0.11 0.06| 194M 20.5M  290M 2926M
  1   1  95   2   0   1|   0  2731B|1694k  127k|   0     0 | 536  3560 |0.13 0.11 0.06| 194M 20.5M  290M 2926M
  1   2  95   0   0   1|   0  2731B|1689k  127k|   0     0 | 814  3542 |0.12 0.11 0.06| 194M 20.5M  290M 2926M
  1   2  96   0   0   1|   0  5461B|1706k  128k|   0     0 |1298  3560 |0.11 0.11 0.06| 194M 20.5M  290M 2926M
  2   1  95   0   0   2|   0  9557B|1827k  137k|   0     0 |1020  3838 |0.09 0.10 0.06| 193M 20.5M  290M 2926M
  2   2  94   0   0   2|   0  3413B|1825k  137k|   0     0 | 870  3823 |0.08 0.10 0.06| 196M 20.5M  290M 2924M
  1   2  95   0   0   1|   0  4779B|1833k  138k|   0     0 | 861  3822 |0.08 0.10 0.06| 196M 20.5M  290M 2924M
  2   2  94   0   0   2|   0  2731B|1871k  140k|   0     0 | 953  3886 |0.07 0.10 0.06| 193M 20.5M  290M 2926M
