
------------------------------------------------------------------------
#client=1 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  0   1  99   0   0   0|   0  2048B| 908k  951k|   0     0 |1718  4784 |0.25 0.20 0.09| 316M 19.0M  146M 13.2G
  0   0  99   0   0   0|   0  2731B| 719k  754k|   0     0 |1368  3832 |0.23 0.20 0.09| 316M 19.0M  146M 13.2G
  9   1  90   0   0   0|   0    91k|2340B 2506B|   0     0 | 336   877 |0.29 0.21 0.09| 206M 19.0M  146M 13.3G
  8   1  91   0   0   0|   0    89k|1059B  998B|   0     0 | 323   836 |0.35 0.23 0.10| 247M 19.0M  146M 13.3G
  2   1  97   0   0   0|   0    97k|1420B 2356B|   0     0 | 171   516 |0.32 0.22 0.10| 266M 19.0M  146M 13.3G
  1   0  98   0   0   0|   0    14k| 380k  398k|   0     0 |1017  2298 |0.27 0.22 0.10| 305M 19.0M  146M 13.2G
  1   1  97   0   0   0|   0  8875B| 917k  945k|   0     0 |2182  5283 |0.25 0.21 0.10| 307M 19.0M  146M 13.2G
  1   1  99   0   0   0|   0  8192B| 999k 1015k|   0     0 |2344  5800 |0.23 0.21 0.09| 307M 19.0M  146M 13.2G
  0   1  99   0   0   0|   0  4779B| 847k  882k|   0     0 |1921  4936 |0.21 0.20 0.09| 307M 19.0M  146M 13.2G
  0   0  99   0   0   0|   0  5461B| 828k  864k|   0     0 |1724  4974 |0.19 0.20 0.09| 307M 19.0M  146M 13.2G
  0   1  99   0   0   0|   0  4096B| 892k  921k|   0     0 |1428  5098 |0.18 0.20 0.09| 307M 19.0M  146M 13.2G
  0   1  99   0   0   0|   0  4096B| 993k 1011k|   0     0 |1399  5555 |0.22 0.21 0.10| 307M 19.1M  146M 13.2G
  0   1  99   0   0   0|   0  6827B| 965k  985k|   0     0 |1364  5392 |0.21 0.20 0.09| 307M 19.1M  146M 13.2G
  0   1  99   0   0   0|   0  4096B| 912k  944k|   0     0 |1287  5110 |0.19 0.20 0.09| 307M 19.1M  146M 13.2G
  0   1  99   0   0   0|   0  4096B| 951k  977k|   0     0 |1371  5313 |0.17 0.20 0.09| 307M 19.1M  146M 13.2G
  2   1  97   0   0   0|   0  4779B| 511k  521k|   0     0 | 807  3058 |0.16 0.19 0.09| 314M 19.1M  146M 13.2G
  9   1  90   0   0   0|   0    87k|2227B 2803B|   0     0 | 291   852 |0.36 0.24 0.11| 203M 19.1M  147M 13.3G

------------------------------------------------------------------------
#client=1 #workers=64 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  0   0  99   0   0   0|  39k 2976B|   0     0 |   0     0 | 169   461 |0.45 0.26 0.12| 273M 19.1M  147M 13.3G
  0   0 100   0   0   0|   0  8192B| 415B  384B|   0     0 |  25    90 |0.42 0.26 0.11| 273M 19.1M  147M 13.3G
  3   1  97   0   0   0|   0  8192B|  58k   60k|   0     0 | 276   837 |0.43 0.26 0.12| 320M 19.1M  147M 13.2G
  2   1  97   0   0   0|   0  7509B| 798k  842k|   0     0 |1734  4381 |0.39 0.26 0.12| 326M 19.1M  147M 13.2G
  1   1  98   0   0   0|   0  6144B| 906k  955k|   0     0 |1912  4916 |0.36 0.26 0.12| 325M 19.1M  147M 13.2G
  0   1  99   0   0   0|   0  9557B| 903k  953k|   0     0 |1636  4725 |0.33 0.25 0.12| 325M 19.2M  147M 13.2G
  1   1  99   0   0   0|   0  4096B| 912k  962k|   0     0 |1661  4758 |0.30 0.25 0.11| 327M 19.2M  147M 13.2G
  0   1  99   0   0   0|   0  4096B| 873k  921k|   0     0 |1587  4561 |0.26 0.24 0.11| 327M 19.2M  147M 13.2G
  0   1  99   0   0   0|   0  4096B| 886k  933k|   0     0 |1589  4631 |0.24 0.23 0.11| 326M 19.2M  147M 13.2G
  0   1  99   0   0   0|   0  6144B| 921k  971k|   0     0 |1685  4803 |0.22 0.23 0.11| 326M 19.2M  147M 13.2G
  0   1  99   0   0   0|   0    10k| 936k  988k|   0     0 |1728  4901 |0.20 0.23 0.11| 328M 19.2M  147M 13.2G
  0   1  99   0   0   0|   0  5461B| 870k  918k|   0     0 |1546  4549 |0.18 0.22 0.11| 329M 19.2M  147M 13.2G
  0   1  99   0   0   0|   0  4779B| 780k  821k|   0     0 |1399  4088 |0.16 0.21 0.11| 328M 19.2M  147M 13.2G
 11   1  87   0   0   0|   0   157k|2790B 3341B|   0     0 | 328   884 |0.14 0.21 0.11| 203M 19.2M  147M 13.3G
  8   1  90   0   0   0|   0    15k|1080B 1029B|   0     0 | 319   866 |0.21 0.22 0.11| 249M 19.2M  148M 13.3G
  2   0  97   0   0   0|   0   330k|1439B 3421B|   0     0 | 209   550 |0.19 0.22 0.11| 279M 19.2M  148M 13.3G
  1   0  98   0   0   0|   0  8192B| 321k  336k|   0     0 | 942  1972 |0.18 0.22 0.11| 323M 19.2M  148M 13.2G
  2   1  98   0   0   0|   0  6827B| 832k  877k|   0     0 |2155  4359 |0.15 0.21 0.11| 325M 19.3M  148M 13.2G
  1   1  99   0   0   0|   0  2048B| 898k  947k|   0     0 |2268  4681 |0.22 0.22 0.11| 327M 19.3M  148M 13.2G
  0   1  99   0   0   0|   0  2048B| 933k  984k|   0     0 |2131  4867 |0.20 0.22 0.11| 327M 19.3M  148M 13.2G
  0   1  99   0   0   0|   0  2048B| 879k  927k|   0     0 |1440  4650 |0.27 0.23 0.12| 327M 19.3M  148M 13.2G
  0   1  99   0   0   0|   0  2048B| 870k  916k|   0     0 |1399  4599 |0.24 0.23 0.11| 327M 19.3M  148M 13.2G
  0   1  99   0   0   0|   0  5461B| 916k  966k|   0     0 |1490  4834 |0.21 0.22 0.11| 327M 19.3M  148M 13.2G
  0   1  99   0   0   0|   0  2731B| 982k 1036k|   0     0 |1594  5190 |0.19 0.21 0.11| 327M 19.3M  148M 13.2G
  0   1  99   0   0   0|   0  4779B| 941k  992k|   0     0 |1523  4961 |0.17 0.21 0.11| 327M 19.3M  148M 13.2G
  0   1  99   0   0   0|   0  4096B| 926k  976k|   0     0 |1505  4902 |0.16 0.21 0.11| 327M 19.3M  148M 13.2G
  2   1  97   0   0   0|   0    11k| 528k  557k|   0     0 | 895  2923 |0.15 0.20 0.11| 367M 19.3M  148M 13.2G
 11   1  88   0   0   0|   0   148k|2523B 3351B|   0     0 | 312   876 |0.49 0.28 0.13| 203M 19.3M  148M 13.3G

------------------------------------------------------------------------
#client=4 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  0   0  99   0   0   0|  38k 4305B|   0     0 |   0     0 | 209   573 |0.50 0.29 0.14| 254M 19.4M  148M 13.3G
