
------------------------------------------------------------------------
#client=1 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  0   0  99   0   0   0|   0    13k| 265k  278k|   0     0 | 645  1612 |0.25 0.25 0.16| 311M 19.6M  304M 13.1G
  0   0 100   0   0   0|   0     0 | 274k  289k|   0     0 | 625  1619 |0.23 0.24 0.16| 311M 19.6M  304M 13.1G
  0   0 100   0   0   0|   0  3413B| 271k  286k|   0     0 | 537  1464 |0.19 0.23 0.16| 311M 19.7M  304M 13.1G
  0   0 100   0   0   0|   0   683B| 275k  290k|   0     0 | 553  1500 |0.18 0.23 0.16| 311M 19.7M  304M 13.1G
  0   0 100   0   0   0|   0  7509B| 278k  291k|   0     0 | 546  1506 |0.16 0.22 0.16| 312M 19.7M  304M 13.1G
  0   0 100   0   0   0|   0  2048B| 271k  286k|   0     0 | 565  1469 |0.15 0.22 0.16| 312M 19.7M  304M 13.1G
  6   1  92   0   0   0|   0    71k|  84k   89k|   0     0 | 412  1165 |0.14 0.22 0.16| 205M 19.7M  304M 13.2G

------------------------------------------------------------------------
#client=1 #workers=64 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  1   0  97   1   0   0| 311k  254k|   0     0 |   0     0 | 291   717 |0.44 0.28 0.18| 279M 19.7M  304M 13.1G
  2   0  98   0   0   0|   0    74k|2615B 1394B|   0     0 |  77   271 |0.40 0.27 0.18| 281M 19.7M  304M 13.1G
  0   0  99   0   0   0|   0  3413B|  66k   69k|   0     0 | 280   655 |0.34 0.26 0.17| 326M 19.7M  304M 13.1G
  0   0  99   0   0   0|   0  2048B| 272k  287k|   0     0 | 773  1539 |0.31 0.26 0.17| 329M 19.7M  304M 13.1G
  0   0  99   0   0   0|   0    83k| 265k  280k|   0     0 | 694  1598 |0.29 0.25 0.17| 332M 19.7M  304M 13.1G
  0   0  99   0   0   0|   0  9557B| 268k  281k|   0     0 | 689  1597 |0.26 0.25 0.17| 332M 19.7M  304M 13.1G
  0   0  99   0   0   0|   0  7509B| 266k  280k|   0     0 | 693  1581 |0.24 0.24 0.17| 332M 19.7M  304M 13.1G
  0   0 100   0   0   0|   0  2048B| 270k  284k|   0     0 | 683  1608 |0.20 0.23 0.17| 333M 19.7M  304M 13.1G
  0   0 100   0   0   0|   0  2048B| 272k  287k|   0     0 | 552  1490 |0.19 0.23 0.17| 333M 19.8M  304M 13.1G
  0   0 100   0   0   0|   0  2048B| 277k  291k|   0     0 | 554  1509 |0.17 0.23 0.17| 333M 19.8M  304M 13.1G
  0   0 100   0   0   0|   0  6144B| 274k  289k|   0     0 | 532  1482 |0.16 0.22 0.16| 333M 19.8M  304M 13.1G
  0   0 100   0   0   0|   0    10k| 278k  293k|   0     0 | 537  1509 |0.15 0.22 0.16| 333M 19.8M  304M 13.1G
  0   0 100   0   0   0|   0  2048B| 269k  284k|   0     0 | 531  1450 |0.12 0.21 0.16| 333M 19.8M  304M 13.1G
  9   1  90   0   0   0|   0   153k|  18k   18k|   0     0 | 347  1022 |0.11 0.21 0.16| 233M 19.8M  305M 13.1G
  9   1  90   0   0   0|   0   307k|3400B 5004B|   0     0 | 595  1472 |0.26 0.24 0.17| 317M 19.8M  305M 13.1G
  1   0  99   0   0   0|   0  9557B|  26k   27k|   0     0 | 185   493 |0.24 0.23 0.17| 323M 19.8M  305M 13.1G
  1   0  99   0   0   0|   0  2731B| 271k  285k|   0     0 | 821  1543 |0.22 0.23 0.17| 324M 19.8M  305M 13.1G
  1   0  99   0   0   0|   0    13k| 275k  290k|   0     0 | 489  1625 |0.19 0.22 0.17| 328M 19.8M  305M 13.1G
  0   0 100   0   0   0|   0    10k| 271k  285k|   0     0 | 653  1525 |0.17 0.22 0.17| 328M 19.8M  305M 13.1G
  1   0  99   0   0   0|   0  7509B| 269k  283k|   0     0 | 564  1589 |0.16 0.21 0.17| 326M 19.8M  305M 13.1G
  0   0 100   0   0   0|   0  2048B| 272k  287k|   0     0 | 456  1630 |0.15 0.21 0.16| 326M 19.8M  305M 13.1G
  0   0 100   0   0   0|   0  2048B| 271k  286k|   0     0 | 446  1623 |0.13 0.21 0.16| 326M 19.9M  305M 13.1G
  0   0 100   0   0   0|   0  2048B| 275k  289k|   0     0 | 462  1638 |0.11 0.20 0.16| 326M 19.9M  305M 13.1G
  0   0 100   0   0   0|   0  2048B| 267k  282k|   0     0 | 441  1593 |0.10 0.20 0.16| 326M 19.9M  305M 13.1G
  0   0 100   0   0   0|   0  7509B| 273k  288k|   0     0 | 450  1633 |0.10 0.19 0.16| 326M 19.9M  305M 13.1G
  0   0 100   0   0   0|   0  3413B| 272k  287k|   0     0 | 453  1627 |0.09 0.19 0.16| 326M 19.9M  305M 13.1G
  7   1  91   0   0   0|   0   144k|  65k   68k|   0     0 | 381  1230 |0.08 0.18 0.16| 206M 19.9M  306M 13.2G

------------------------------------------------------------------------
#client=4 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  1   0  98   1   0   0| 269k  224k|   0     0 |   0     0 | 320   807 |0.22 0.21 0.17| 257M 19.9M  306M 13.1G
  2   0  98   0   0   0|   0   134k| 617B  635B|   0     0 |  74   282 |0.20 0.21 0.17| 259M 19.9M  306M 13.1G
  1   0  99   0   0   0|   0  3413B| 276k  276k|   0     0 | 769  1513 |0.19 0.20 0.17| 268M 19.9M  306M 13.1G
  1   1  98   0   0   0|   0  2048B|1078k 1077k|   0     0 |2486  4607 |0.16 0.20 0.16| 272M 19.9M  306M 13.1G
  0   0  99   0   0   0|   0    16k|1114k 1114k|   0     0 |2475  4419 |0.14 0.19 0.16| 285M 19.9M  306M 13.1G
  0   0  99   0   0   0|   0   137k|1087k 1087k|   0     0 |2464  4198 |0.21 0.21 0.17| 294M 19.9M  306M 13.1G
  0   1  99   0   0   0|   0  7509B|1119k 1119k|   0     0 |2532  4402 |0.20 0.20 0.17| 304M 19.9M  306M 13.1G
  0   0  99   0   0   0|   0  2731B|1111k 1110k|   0     0 |2522  4394 |0.18 0.20 0.17| 304M 20.0M  306M 13.1G
  0   0  99   0   0   0|   0  2731B|1082k 1082k|   0     0 |2488  4339 |0.15 0.19 0.16| 316M 20.0M  306M 13.1G
  0   0  99   0   0   0|   0  2048B| 988k  988k|   0     0 |2311  4107 |0.14 0.19 0.16| 316M 20.0M  306M 13.1G
  0   0  99   0   0   0|   0  8875B| 904k  904k|   0     0 |2145  3806 |0.13 0.19 0.16| 329M 20.0M  306M 13.1G
  0   0  99   0   0   0|   0  2731B|1071k 1070k|   0     0 |2439  4580 |0.12 0.18 0.16| 329M 20.0M  306M 13.1G
  0   0  99   0   0   0|   0  2048B|1102k 1102k|   0     0 |2415  4568 |0.11 0.18 0.16| 329M 20.0M  306M 13.1G
  6   1  92   0   0   0|   0    37k|  83k   83k|   0     0 | 495  1264 |0.17 0.19 0.16| 234M 20.0M  306M 13.1G
  9   2  89   0   0   0|   0    62k|2656B 2798B|   0     0 | 484  1282 |0.24 0.20 0.17| 259M 20.0M  306M 13.1G
  1   0  99   0   0   0|   0    21k| 258k  258k|   0     0 | 715  1331 |0.22 0.20 0.17| 268M 20.0M  306M 13.1G
  1   1  98   0   0   0|   0    14k|1066k 1065k|   0     0 |2242  4608 |0.20 0.20 0.17| 273M 20.0M  306M 13.1G
  0   0  99   0   0   0|   0  6144B|1093k 1093k|   0     0 |2009  4563 |0.18 0.19 0.17| 275M 20.0M  306M 13.1G
  0   0  99   0   0   0|   0  2731B|1100k 1100k|   0     0 |2095  4547 |0.16 0.19 0.16| 275M 20.0M  306M 13.1G
  0   1  99   0   0   0|   0  2048B|1094k 1094k|   0     0 |2115  4475 |0.22 0.20 0.17| 277M 20.1M  306M 13.1G
  0   1  99   0   0   0|   0  2048B|1114k 1113k|   0     0 |2161  4593 |0.21 0.20 0.17| 287M 20.1M  306M 13.1G
  0   0  99   0   0   0|   0  2048B|1090k 1090k|   0     0 |2189  4372 |0.19 0.19 0.17| 289M 20.1M  306M 13.1G
  0   0  99   0   0   0|   0  6144B|1107k 1107k|   0     0 |2014  4474 |0.17 0.19 0.17| 289M 20.1M  306M 13.1G
  0   1  99   0   0   0|   0  5461B|1100k 1100k|   0     0 |2081  4362 |0.15 0.18 0.16| 304M 20.1M  306M 13.1G
