
------------------------------------------------------------------------
#client=1 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  1   0  97   2   0   0|   0  6144B|3813B 1678B|   0     0 |  18    38 |0.02 0.08 0.15| 190M 18.9M  129M 1329M
  1   0  98   1   0   0|   0  2048B|3899B 1764B|   0     0 |  18    75 |0.02 0.08 0.15| 190M 18.9M  129M 1329M
  1   1  96   1   0   2|   0  2048B|  53k  387k|   0     0 |  18   591 |0.02 0.08 0.15| 190M 18.9M  129M 1329M
  1   2  96   0   0   1|   0  4779B|  68k  497k|   0     0 |  18   797 |0.01 0.08 0.14| 190M 18.9M  129M 1329M
  1   2  96   0   0   1|   0  2731B|  68k  494k|   0     0 |  18   805 |0.01 0.07 0.14| 190M 18.9M  129M 1329M
  1   1  97   1   0   1|   0  2731B|  69k  504k|   0     0 |  18   804 |0.01 0.07 0.14| 190M 19.0M  129M 1329M
  1   0  97   0   0   1|   0  2048B|  68k  490k|   0     0 |  18   757 |0.01 0.07 0.14| 190M 19.0M  129M 1329M
  1   1  97   1   0   1|   0  2048B|  69k  508k|   0     0 |  18   757 |0.01 0.07 0.14| 190M 19.0M  129M 1329M
  1   1  96   1   0   1|   0  2048B|  70k  507k|   0     0 |  18   819 |0.09 0.08 0.14| 190M 19.0M  129M 1329M
  1   1  97   0   0   1|   0  2731B|  70k  510k|   0     0 |  18   802 |0.08 0.08 0.14| 190M 19.0M  129M 1329M
  1   1  97   1   0   1|   0  3413B|  71k  514k|   0     0 |  18   793 |0.07 0.08 0.14| 190M 19.0M  129M 1329M
  1   1  97   1   0   1|   0  2048B|  70k  506k|   0     0 |  18   776 |0.14 0.10 0.15| 190M 19.0M  129M 1329M
  1   1  98   1   0   1|   0  2048B|  37k  267k|   0     0 |  18   435 |0.13 0.09 0.15| 190M 19.0M  129M 1329M

------------------------------------------------------------------------
#client=1 #workers=64 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  3   2  88   6   0   0| 151k  728k|   0     0 |   0     0 |  22   460 |0.18 0.10 0.15| 190M 19.0M  129M 1328M
  0   0  99   0   0   0|   0  4096B|6365B 1103B|   0     0 |  18    40 |0.17 0.10 0.15| 191M 19.0M  129M 1328M
  1   1  97   0   0   1|   0  2048B| 531k   35k|   0     0 |  18   719 |0.15 0.10 0.15| 191M 19.0M  129M 1328M
  1   1  96   1   0   2|   0  2048B| 530k   34k|   0     0 |  18   734 |0.14 0.10 0.15| 190M 19.0M  129M 1328M
  1   1  97   1   0   1|   0  2048B| 524k   33k|   0     0 |  18   781 |0.13 0.10 0.14| 190M 19.1M  129M 1328M
  1   1  97   1   0   1|   0  6827B| 536k   34k|   0     0 |  18   765 |0.11 0.09 0.14| 190M 19.1M  129M 1328M
  1   0  98   0   0   1|   0  5461B| 535k   34k|   0     0 |  18   734 |0.10 0.09 0.14| 190M 19.1M  129M 1328M
  1   1  97   1   0   1|   0  2731B| 537k   34k|   0     0 |  18   767 |0.09 0.09 0.14| 190M 19.1M  129M 1328M
  1   1  97   1   0   1|   0  2048B| 555k   35k|   0     0 |  18   832 |0.08 0.09 0.14| 190M 19.1M  129M 1328M
  1   1  97   1   0   1|   0  2048B| 537k   34k|   0     0 |  18   781 |0.08 0.09 0.14| 190M 19.1M  129M 1328M
  1   1  98   1   0   1|   0  2048B| 552k   35k|   0     0 |  18   776 |0.06 0.08 0.14| 190M 19.1M  129M 1328M
  1   1  97   1   0   1|   0  2048B| 546k   35k|   0     0 |  18   810 |0.14 0.10 0.14| 190M 19.1M  129M 1328M
  0   0  99   1   0   0|   0  2048B| 166k   12k|   0     0 |  18   261 |0.13 0.10 0.14| 191M 19.1M  129M 1328M
  1   0  99   1   0   0|   0  2731B|5453B 2587B|   0     0 |  18    96 |0.12 0.09 0.14| 190M 19.1M  129M 1328M
  0   0  99   1   0   0|   0  2048B|1203B  487B|   0     0 |  18    39 |0.11 0.09 0.14| 190M 19.1M  129M 1328M
  1   1  97   1   0   1|   0  2048B|  57k  413k|   0     0 |  18   656 |0.09 0.09 0.14| 190M 19.1M  129M 1328M
  1   2  95   1   0   2|   0  2048B|  71k  518k|   0     0 |  18   827 |0.08 0.09 0.14| 190M 19.1M  129M 1328M
