
------------------------------------------------------------------------
#client=1 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  2   1  91   5   0   0| 183k 1231k|   0     0 |   0     0 |  87   498 |0.05 0.20 0.20| 185M 19.8M  131M 3094M
  0   0 100   0   0   0|   0  1365B|2405B  974B|   0     0 |  26    53 |0.05 0.19 0.20| 185M 19.8M  131M 3094M
  0   0  99   0   0   0|   0  2048B|1864B 1082B|   0     0 |  25    46 |0.04 0.19 0.19| 187M 19.8M  131M 3092M
 15   5  80   0   0   0|   0  6144B|  24k  318k|   0     0 | 338  1121 |0.18 0.22 0.20| 190M 19.8M  131M 3089M
  1   0  98   0   0   0|   0  8875B|  35k  492k|   0     0 | 298  1348 |0.17 0.21 0.20| 190M 19.8M  131M 3089M
  1   1  98   0   0   1|   0  5461B|  34k  486k|   0     0 | 192  1343 |0.32 0.24 0.21| 190M 19.8M  131M 3089M
  0   0  99   0   0   0|   0  2731B|  35k  492k|   0     0 | 134  1392 |0.29 0.24 0.21| 190M 19.9M  131M 3089M
  0   0  99   0   0   0|   0  2731B|  33k  491k|   0     0 |  22  1345 |0.27 0.23 0.21| 190M 19.9M  131M 3089M
  1   0  99   0   0   0|   0  2731B|  35k  488k|   0     0 | 109  1347 |0.22 0.23 0.20| 190M 19.9M  131M 3089M
  0   0  97   2   0   1|2731B   11k|  36k  504k|   0     0 | 179  1431 |0.29 0.24 0.21| 187M 19.9M  131M 3092M
  1   0  98   0   0   0|   0  6144B|  35k  490k|   0     0 | 184  1387 |0.26 0.23 0.21| 186M 19.9M  131M 3092M
  1   1  98   0   0   0|   0    11k|  35k  495k|   0     0 | 287  1367 |0.24 0.23 0.21| 186M 19.9M  131M 3093M
  0   1  98   0   0   0|   0  6827B|  35k  511k|   0     0 | 130  1413 |0.22 0.23 0.20| 186M 19.9M  131M 3092M
  1   1  97   1   0   0|   0  2731B|  25k  342k|   0     0 |  31  1005 |0.19 0.22 0.20| 182M 19.9M  131M 3097M
  0   0  99   0   0   0|   0  9557B|2405B  974B|   0     0 |  21    37 |0.17 0.21 0.20| 182M 19.9M  131M 3097M
