
------------------------------------------------------------------------
#client=1 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  0   0  99   0   0   0|   0  4096B| 809k  851k|   0     0 |1137  3492 |0.18 0.21 0.10| 315M 21.3M  417M 13.0G
  7   1  91   0   0   0|   0    69k| 243k  256k|   0     0 | 591  1857 |0.24 0.22 0.11| 210M 21.3M  417M 13.1G

------------------------------------------------------------------------
#client=1 #workers=64 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  1   0  99   1   0   0| 135k  100k|   0     0 |   0     0 | 222   662 |0.36 0.25 0.12| 289M 21.3M  417M 13.0G
  2   0  98   0   0   0|   0    83k| 851B  807B|   0     0 |  98   338 |0.41 0.26 0.12| 289M 21.3M  417M 13.0G
  2   1  98   0   0   0|   0  2731B| 699k  736k|   0     0 |1548  3129 |0.62 0.31 0.14| 340M 21.4M  417M 12.9G
  1   1  99   0   0   0|   0  2048B| 793k  837k|   0     0 |1616  3343 |0.57 0.30 0.13| 338M 21.4M  417M 12.9G
  0   0  99   0   0   0|   0  6827B| 812k  856k|   0     0 |1476  3483 |0.48 0.29 0.13| 340M 21.4M  417M 12.9G
  0   0  99   0   0   0|   0    68k| 825k  870k|   0     0 |1310  3521 |0.44 0.29 0.13| 340M 21.4M  417M 12.9G
  0   0  99   0   0   0|   0    11k| 807k  850k|   0     0 |1248  3433 |0.41 0.28 0.13| 339M 21.4M  417M 12.9G
  0   0  99   0   0   0|   0  7509B| 811k  855k|   0     0 |1169  3650 |0.45 0.29 0.14| 342M 21.4M  417M 12.9G
  0   0  99   0   0   0|   0  2048B| 803k  847k|   0     0 |1301  3620 |0.42 0.29 0.13| 342M 21.4M  417M 12.9G
  0   0  99   0   0   0|   0  2731B| 829k  875k|   0     0 |1340  3713 |0.35 0.28 0.13| 342M 21.4M  417M 12.9G
  0   0  99   0   0   0|   0  2048B| 807k  850k|   0     0 |1150  3522 |0.32 0.27 0.13| 344M 21.4M  417M 12.9G
  0   0  99   0   0   0|   0  6144B| 809k  854k|   0     0 |1175  3553 |0.30 0.27 0.13| 344M 21.4M  417M 12.9G
