
------------------------------------------------------------------------
#client=1 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
#client=1 #workers=64 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  3   1  92   4   0   0|  85k  413k|   0     0 |   0     0 |  20   259 |   0 0.03 0.06| 188M 19.2M  131M 1327M
  0   1  98   0   0   1|   0  3413B| 250k   17k|   0     0 |  18   275 |   0 0.03 0.06| 189M 19.2M  131M 1327M
  1   1  95   1   0   2|   0  2731B| 768k   49k|   0     0 |  18   754 |   0 0.03 0.06| 189M 19.2M  131M 1327M
  1   1  96   1   0   1|   0  2048B| 796k   50k|   0     0 |  18   794 |   0 0.03 0.06| 189M 19.2M  131M 1327M
  1   1  95   0   0   2|   0  2048B| 804k   51k|   0     0 |  18   771 |   0 0.03 0.06| 189M 19.2M  131M 1327M
  1   1  97   1   0   1|   0  6827B| 821k   52k|   0     0 |  18   805 |   0 0.03 0.06| 189M 19.2M  131M 1327M
  2   1  95   0   0   2|   0  5461B| 794k   50k|   0     0 |  18   778 |   0 0.03 0.06| 189M 19.2M  131M 1327M
  1   2  95   1   0   2|   0  2731B| 823k   52k|   0     0 |  18   838 |   0 0.03 0.06| 189M 19.2M  131M 1327M
  1   1  96   0   0   1|   0  2048B| 802k   51k|   0     0 |  18   780 |   0 0.03 0.06| 189M 19.2M  131M 1326M
  1   1  96   1   0   1|   0  2731B| 816k   51k|   0     0 |  18   800 |   0 0.03 0.06| 189M 19.2M  131M 1327M
  2   1  95   1   0   2|   0  2048B| 802k   51k|   0     0 |  18   768 |   0 0.03 0.06| 189M 19.2M  131M 1327M
  1   1  97   0   0   1|   0  3413B| 525k   34k|   0     0 |  18   523 |   0 0.02 0.06| 189M 19.2M  131M 1327M
  1   0  99   1   0   0|   0  2048B|3813B 1678B|   0     0 |  18    38 |   0 0.02 0.06| 189M 19.2M  131M 1327M
  1   0  98   1   0   0|   0  2731B|  11k   54k|   0     0 |  18   150 |   0 0.02 0.06| 188M 19.3M  131M 1327M
