
------------------------------------------------------------------------
#client=1 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  1   1  98   0   0   1|   0  2048B| 752k   57k|   0     0 | 297  1759 |0.08 0.10 0.09| 167M 19.9M  132M 3120M
  1   1  98   0   0   0|   0  4096B| 746k   57k|   0     0 | 122  1641 |0.07 0.10 0.09| 169M 19.9M  132M 3118M
  0   1  98   0   0   0|   0  2731B| 504k   38k|   0     0 |  30  1104 |0.06 0.09 0.09| 165M 19.9M  132M 3122M
 10   3  87   0   0   0|   0  4779B|2497B 1437B|   0     0 |  45   191 |0.06 0.09 0.09| 250M 20.0M  132M 3038M

------------------------------------------------------------------------
#client=1 #workers=64 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  3   2  90   5   0   0| 208k   78M|   0     0 |   0     0 | 171   913 |0.05 0.09 0.08| 165M 20.0M  132M 3122M
  0   0 100   0   0   0|   0  4096B|2427B  992B|   0     0 |  22    45 |0.05 0.09 0.08| 165M 20.0M  132M 3122M
  8   3  89   0   0   0|   0  4779B|  31k  419k|   0     0 | 278  1230 |0.12 0.10 0.09| 167M 20.0M  132M 3120M
  1   1  98   0   0   0|   0  2048B|  48k  717k|   0     0 | 389  1662 |0.11 0.10 0.09| 167M 20.0M  132M 3120M
  1   1  97   0   0   1|   0  3413B|  52k  761k|   0     0 | 312  1780 |0.10 0.10 0.09| 169M 20.0M  132M 3118M
  1   1  97   0   0   1|   0  7509B|  52k  760k|   0     0 | 287  1784 |0.09 0.10 0.09| 167M 20.0M  132M 3120M
  1   1  98   0   0   1|   0  2731B|  53k  773k|   0     0 | 306  1751 |0.08 0.09 0.09| 167M 20.0M  132M 3120M
  1   1  98   0   0   1|   0  5461B|  52k  757k|   0     0 | 357  1776 |0.07 0.09 0.09| 167M 20.0M  132M 3120M
  1   1  97   0   0   1|   0  2048B|  52k  766k|   0     0 | 346  1846 |0.06 0.09 0.09| 169M 20.0M  132M 3118M
  1   1  97   0   0   1|   0  2048B|  52k  761k|   0     0 | 400  1854 |0.06 0.09 0.09| 169M 20.0M  132M 3118M
  1   1  98   0   0   1|   0  5461B|  53k  763k|   0     0 |  67  1629 |0.05 0.08 0.08| 169M 20.0M  132M 3118M
  0   1  98   0   0   1|   0  2048B|  52k  761k|   0     0 |  25  1588 |0.05 0.08 0.08| 167M 20.0M  132M 3120M
  0   0  99   0   0   0|   0  2731B|  21k  307k|   0     0 |  30   699 |0.04 0.08 0.08| 167M 20.0M  132M 3120M
  0   0  98   1   0   0|   0  6144B|2405B  974B|   0     0 |  22    46 |0.04 0.08 0.08| 167M 20.1M  132M 3120M
  8   2  90   0   0   0|   0  4779B| 236k   19k|   0     0 | 172   791 |0.03 0.08 0.08| 167M 20.1M  132M 3120M
  1   1  97   0   0   1|   0  2048B| 761k   58k|   0     0 | 366  1819 |0.03 0.08 0.08| 168M 20.1M  132M 3119M
  1   1  98   0   0   0|   0  5461B| 771k   58k|   0     0 |  40  1643 |0.03 0.07 0.08| 168M 20.1M  132M 3119M
  1   1  98   0   0   0|   0  2731B| 750k   57k|   0     0 | 534  1623 |0.03 0.07 0.08| 169M 20.1M  132M 3119M
  1   1  97   0   0   0|   0  4779B| 767k   58k|   0     0 | 277  1782 |0.02 0.07 0.08| 168M 20.1M  132M 3119M
  1   1  95   3   0   0|  43k 4779B| 758k   58k|   0     0 |  50  1661 |0.02 0.07 0.08| 168M 20.4M  132M 3119M
  1   1  97   0   0   1|   0  4096B| 754k   57k|   0     0 | 271  1737 |0.02 0.07 0.08| 168M 20.4M  132M 3119M
  1   1  97   1   0   1|   0  4096B| 760k   58k|   0     0 | 151  1715 |0.02 0.07 0.08| 168M 20.4M  132M 3119M
  1   1  98   0   0   1|   0  4779B| 756k   57k|   0     0 | 441  1793 |0.01 0.06 0.08| 168M 20.4M  132M 3119M
  1   1  98   0   0   0|   0  2048B| 747k   57k|   0     0 | 244  1675 |0.01 0.06 0.08| 170M 20.4M  132M 3117M
  1   1  98   0   0   0|   0  3413B| 506k   39k|   0     0 | 214  1229 |0.01 0.06 0.08| 166M 20.4M  132M 3121M
  2   1  97   0   0   0|   0  4096B|2414B 1386B|   0     0 |  44   154 |0.01 0.06 0.08| 182M 20.4M  132M 3105M

------------------------------------------------------------------------
#client=4 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  3   2  91   4   0   0| 175k   65M|   0     0 |   0     0 | 180   990 |0.09 0.07 0.08| 165M 20.4M  132M 3121M
  0   0 100   0   0   0|   0  7509B|2474B 1323B|   0     0 |  25    44 |0.08 0.07 0.08| 165M 20.4M  132M 3121M
  7   3  89   0   0   1|   0  8192B| 117k 1727k|   0     0 | 368  1705 |0.07 0.07 0.08| 168M 20.4M  132M 3119M
  1   1  96   1   0   1|   0  9557B| 189k 2852k|   0     0 |1057  2142 |0.07 0.07 0.08| 170M 20.4M  132M 3117M
  1   2  95   0   0   1|   0  2048B| 198k 2958k|   0     0 |1138  2451 |0.06 0.07 0.08| 171M 20.4M  132M 3116M
  1   1  96   0   0   1|   0  3413B| 200k 2997k|   0     0 | 593  2460 |0.05 0.07 0.08| 168M 20.4M  132M 3118M
  1   2  95   0   0   1|   0  7509B| 200k 3002k|   0     0 | 800  2420 |0.05 0.06 0.08| 168M 20.5M  132M 3119M
  1   2  96   0   0   1|   0  3413B| 203k 3037k|   0     0 | 636  2554 |0.04 0.06 0.08| 168M 20.5M  132M 3119M
  1   1  96   0   0   1|   0  7509B| 202k 3045k|   0     0 | 919  2518 |0.04 0.06 0.08| 168M 20.5M  132M 3119M
  2   2  95   0   0   2|   0  2048B| 203k 3049k|   0     0 | 596  2615 |0.04 0.06 0.08| 168M 20.5M  132M 3119M
  2   1  96   1   0   1|   0  4096B| 203k 3034k|   0     0 |1288  2526 |0.10 0.07 0.08| 169M 20.5M  132M 3118M
  1   2  95   0   0   1|   0  3413B| 195k 2923k|   0     0 |1252  2413 |0.10 0.07 0.08| 168M 20.5M  132M 3119M
  1   1  98   0   0   1|   0  3413B|  82k 1201k|   0     0 | 245  1106 |0.09 0.07 0.08| 166M 20.5M  132M 3121M
  0   0  98   1   0   0|   0  6144B|1203B  487B|   0     0 |  22    42 |0.08 0.07 0.08| 166M 20.5M  132M 3121M
  7   2  90   0   0   0|   0  4779B| 864k   66k|   0     0 | 233   996 |0.07 0.07 0.08| 167M 20.5M  132M 3120M
  2   2  95   0   0   1|   0  2731B|2929k  219k|   0     0 | 486  2495 |0.06 0.07 0.08| 170M 20.5M  132M 3117M
  2   2  95   0   0   1|   0  8192B|2961k  222k|   0     0 | 640  2553 |0.06 0.06 0.08| 168M 20.5M  132M 3119M
  2   2  95   0   0   1|   0  2731B|2929k  219k|   0     0 | 533  2490 |0.05 0.06 0.08| 170M 20.5M  132M 3117M
  1   1  96   0   0   1|   0  2048B|2925k  219k|   0     0 | 489  2248 |0.05 0.06 0.08| 170M 20.6M  132M 3116M
  1   2  95   0   0   1|   0  2048B|2919k  219k|   0     0 | 674  2324 |0.04 0.06 0.08| 168M 20.6M  132M 3119M
  1   1  96   0   0   1|   0  6144B|2849k  214k|   0     0 | 501  2195 |0.04 0.06 0.08| 168M 20.6M  132M 3119M
  1   2  95   1   0   1|   0  2048B|2848k  213k|   0     0 |1284  2259 |0.03 0.06 0.08| 170M 20.6M  132M 3117M
  1   2  96   0   0   1|   0  2048B|2938k  220k|   0     0 | 647  2210 |0.03 0.06 0.07| 170M 20.6M  132M 3116M
  1   1  96   0   0   1| 683B 4779B|2911k  218k|   0     0 | 561  2262 |0.03 0.05 0.07| 170M 20.6M  132M 3117M
  1   1  96   1   0   1|   0  8192B|2059k  155k|   0     0 | 488  1763 |0.02 0.05 0.07| 166M 20.6M  132M 3121M
  8   2  89   0   0   0|   0  2731B|3575B 1740B|   0     0 |  50   213 |0.18 0.08 0.08| 239M 20.6M  132M 3048M

------------------------------------------------------------------------
#client=4 #workers=16 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  3   2  92   4   0   0| 151k   56M|   0     0 |   0     0 | 240  1121 |0.18 0.08 0.08| 166M 20.6M  132M 3121M
  0   0  99   0   0   0|   0  4096B|2415B  983B|   0     0 |  23    41 |0.17 0.08 0.08| 168M 20.6M  132M 3119M
