
------------------------------------------------------------------------
#client=1 #workers=16 run=1 write-only then read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  2   1  96   0   0   2|   0  3413B| 128k 1907k|   0     0 | 797  2408 |0.30 0.24 0.19| 230M 37.0M  840M 2324M
  1   1  97   0   0   1|   0  6827B| 127k 1893k|   0     0 | 815  2317 |0.26 0.23 0.19| 229M 37.0M  840M 2324M
  1   1  97   0   0   0|   0  4779B| 128k 1909k|   0     0 | 861  2414 |0.24 0.23 0.19| 229M 37.0M  840M 2324M
  1   1  97   0   0   1|   0    13k| 129k 1943k|   0     0 | 845  2550 |0.22 0.22 0.19| 228M 37.1M  840M 2325M
  1   1  97   0   0   1|   0  3413B| 131k 1943k|   0     0 | 852  2515 |0.20 0.22 0.18| 228M 37.1M  840M 2325M
  1   1  96   0   0   1|   0  2731B| 129k 1924k|   0     0 | 813  2416 |0.18 0.21 0.18| 227M 37.1M  840M 2326M
  1   2  96   0   0   1|   0  3413B| 126k 1885k|   0     0 | 793  2341 |0.15 0.21 0.18| 227M 37.1M  840M 2326M
  1   1  97   1   0   1|   0  4779B| 128k 1923k|   0     0 | 826  2384 |0.14 0.20 0.18| 229M 37.1M  840M 2324M
  1   0  99   0   0   0|   0  3413B|  39k  557k|   0     0 | 264   771 |0.13 0.20 0.18| 223M 37.1M  840M 2330M
  0   0  97   3   0   0|   0  8875B|2405B  974B|   0     0 |  24    57 |0.12 0.20 0.18| 223M 37.1M  840M 2331M
 16   6  78   1   0   0|   0  6144B| 653k   51k|   0     0 | 224  1123 |0.11 0.19 0.18| 229M 37.1M  840M 2325M
  1   1  97   0   0   1|   0  2731B|1868k  140k|   0     0 | 825  2136 |0.09 0.18 0.17| 226M 37.1M  840M 2327M
  1   1  96   0   0   1|   0  3413B|1857k  139k|   0     0 | 773  2144 |0.08 0.18 0.17| 226M 37.1M  840M 2327M
  1   1  97   0   0   1|   0  2731B|1863k  140k|   0     0 | 678  2101 |0.16 0.20 0.18| 229M 37.1M  840M 2324M
  1   1  97   0   0   1|   0  2731B|1903k  143k|   0     0 | 447  2199 |0.15 0.19 0.18| 227M 37.1M  840M 2327M
  1   1  97   0   0   0|   0  8192B|1873k  141k|   0     0 | 987  2124 |0.13 0.19 0.18| 227M 37.2M  840M 2327M
  1   1  97   0   0   1|   0  8192B|1863k  140k|   0     0 | 534  2086 |0.11 0.18 0.17| 227M 37.2M  840M 2326M
  1   1  97   1   0   1|   0  4779B|1841k  138k|   0     0 | 772  2071 |0.10 0.18 0.17| 227M 37.2M  840M 2326M
  1   1  97   0   0   1|   0  5461B|1848k  139k|   0     0 | 961  2090 |0.10 0.17 0.17| 227M 37.2M  840M 2326M
  1   1  97   0   0   1|   0  2731B|1866k  140k|   0     0 | 679  2053 |0.09 0.17 0.17| 229M 37.2M  840M 2324M
  1   1  96   0   0   1|   0  2731B|1819k  136k|   0     0 | 784  2085 |0.08 0.17 0.17| 223M 37.2M  840M 2330M
  3   1  96   0   0   0|   0  3413B|3617B 1873B|   0     0 |  48   180 |0.07 0.16 0.17| 242M 37.2M  840M 2311M

------------------------------------------------------------------------
#client=4 #workers=64 run=1 write-only then read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  2   1  93   3   0   0| 167k  579k|   0     0 |   0     0 | 136   495 |0.07 0.16 0.17| 223M 37.2M  840M 2330M
  0   0 100   0   0   0|   0  4779B|2405B  974B|   0     0 |  31    57 |0.06 0.16 0.17| 223M 37.2M  840M 2331M
 15   6  79   0   0   0|   0  3413B|4285B 8405B|   0     0 |  83   337 |0.37 0.22 0.19| 226M 37.2M  840M 2327M
  1   1  96   0   0   1|   0  5461B| 128k 1900k|   0     0 | 876  2227 |0.34 0.22 0.19| 227M 37.2M  840M 2326M
